year,date,role,name,vote,voteType
2017,1/24/17,Representative of the United States of America to the Sessions of the General Assembly of the United Nations during her tenure of service as Representative of the United States of America to the United Nations,Nikki R. Haley,96,roll call
2017,1/24/17,the Representative of the United States of America to the United Nations,Nikki R. Haley,96,roll call
2017,1/23/17,Director of the Central Intelligence Agency,Mike Pompeo,66,roll call
2017,1/20/17,Secretary of Homeland Security,John F. Kelly,88,roll call
2017,2/7/17,Secretary of Education,Elisabeth Prince DeVos,50,roll call
2017,1/31/17,Secretary of Transportation,Elaine L. Chao,93,roll call
2017,2/8/17,Attorney General,Jeff Sessions,52,roll call
2017,1/20/17,Secretary of Defense,James Mattis,98,roll call
2017,2/1/17,Secretary of State,Rex W. Tillerson,56,roll call
2016,12/10/16,a Member of the Surface Transportation Board for a term expiring December 31,Ann Begeman,100,voice
2016,12/10/16,a Member of the Board of Directors of the State Justice Institute for a term expiring September 17,John D. Minton Jr.,100,voice
2016,9/28/16,Representative of the United States of America to the Seventy-first Session of the General Assembly of the United Nations,Ronald H. Johnson,100,voice
2016,9/28/16,Representative of the United States of America to the Seventy-first Session of the General Assembly of the United Nations,Christopher Coons,100,voice
2016,12/10/16,a Commissioner of the Postal Regulatory Commission for a term expiring October 14,Robert G. Taub,100,voice
2016,9/28/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Indonesia,Joseph R. Donovan Jr.,100,voice
2016,9/28/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federal Republic of Nigeria,W. Stuart Symington,100,voice
2016,12/10/16,a Commissioner of the Postal Regulatory Commission for a term expiring October 14,Mark D. Acton,100,voice
2016,9/28/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to Burkina Faso,Andrew Robert Young,100,voice
2016,12/10/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to Malaysia,Kamala Shirin Lakhdhir,100,voice
2016,6/29/16,a Federal Maritime Commissioner for a term expiring June 30,Michael A. Khouri,100,voice
2016,9/8/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federative Republic of Brazil,Peter Michael McKinley,92,roll call
2016,6/29/16,a Federal Maritime Commissioner for the term expiring June 30,Rebecca F. Dye,100,voice
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to Ukraine,Marie L. Yovanovitch,100,voice
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Iraq,Douglas Alan Silliman,100,voice
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to Greece,Geoffrey R. Pyatt,100,voice
2016,9/28/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of the Philippines,Sung Y. Kim,100,voice
2016,6/29/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Burundi,Anne S. Casper,100,voice
2016,9/28/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Lao People's Democratic Republic,Rena Bitter,100,voice
2016,7/12/16,United States Attorney for the Northern District of Ohio for the term of four years,Carole Schwartz Rendon,100,voice
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Chile,Carol Z. Perez,100,voice
2016,7/14/16,Under Secretary of Transportation for Policy,Blair Anderson,100,voice
2016,12/10/16,Inspector General,Peggy E. Gustafson,100,voice
2016,6/29/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Chad,Geeta Pasi,100,voice
2016,9/15/16,Inspector General of the National Reconnaissance Office,Susan S. Gibson,93,roll call
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the State of Kuwait,Lawrence Robert Silverman,100,voice
2016,6/29/16,Representative of the United States of America to the African Union,Mary Beth Leonard,100,voice
2016,7/14/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Lithuania,Anne Hall,100,voice
2016,7/13/16,Librarian of Congress for a term of ten years,Carla D. Hayden,74,roll call
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Lebanese Republic,Elizabeth Holzhall Richard,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Liberia,Christine Ann Elder,100,voice
2016,3/14/16,Secretary of Education,John B. King,49,roll call
2016,5/25/16,United States Marshal for the District of Columbia for the term of four years,Patrick A. Burke,100,voice
2016,6/23/16,an Assistant Administrator of the United States Agency for International Development,R. David Harden,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federal Republic of Somalia,Stephen Michael Schwartz,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Oriental Republic of Uruguay,Kelly Keiderling-Franz,100,voice
2016,3/17/16,an Assistant Secretary of Defense,Todd A. Weiler,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Slovak Republic,Adam H. Sterling,100,voice
2016,2/11/16,a Member of the Board of Directors of the Millennium Challenge Corporation for a term of three years,Michael O. Johanns,100,voice
2016,2/11/16,a Member of the Board of Directors of the Millennium Challenge Corporation for a term of two years,Morton H. Halperin,100,voice
2016,12/10/16,Deputy Director for Management,Andrew Mayock,100,voice
2016,5/17/16,an Assistant Administrator of the United States Agency for International Development,Marcela Escobari,100,voice
2016,6/23/16,an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years,Elizabeth Carroll Wingo,100,voice
2016,6/23/16,an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years,Steven Nathan Berk,100,voice
2016,5/17/16,United States Director of the Asian Development Bank,Swati A. Dandekar,100,voice
2016,6/29/16,a Federal Maritime Commissioner for a term expiring June 30,Daniel B. Maffei,100,voice
2016,5/17/16,a Member of the United States Advisory Commission on Public Diplomacy for a term expiring July 1,Georgette Mosbacher,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of the Marshall Islands,Karen Brevard Stewart,100,voice
2016,5/17/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federated States of Micronesia,Robert Annan Riley III,100,voice
2015,12/9/15,Ambassador Extraordinary and Plenipotentiary of the United States of America to Barbados,Linda Swartz Taglialatela,100,voice
2016,2/9/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Union of Burma,Scot Alan Marciel,90,roll call
2015,12/9/15,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of El Salvador,Jean Elizabeth Manes,100,voice
2016,5/17/16,a Member of the Board of Directors of the African Development Foundation for a term expiring September 22,Linda I. Etim,100,voice
2016,2/12/16,Ambassador Extraordinary and Plenipotentiary of the United States of America to Luxembourg,David McKean,100,voice
2015,12/15/15,United States Attorney for the District of New Hampshire for the term of four years,Emily Gray Rice,100,voice
2015,12/15/15,United States Attorney for the Western District of Virginia for the term of four years,John P. Fishwick Jr.,100,voice
2015,12/15/15,United States Attorney for the Eastern District of New York for the term of four years,Robert Lloyd Capers,100,voice
2015,12/15/15,United States Attorney for the Eastern District of Virginia for the term of four years,Dana J. Boente,100,voice
2016,4/19/16,Inspector General,Michael Joseph Missal,100,voice
2015,12/9/15,Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Ecuador,Todd C. Chapman,100,voice
2015,12/16/15,an Assistant Secretary of Commerce,Steven Michael Haro,100,voice
2016,6/13/16,General Counsel of the Department of Defense,Jennifer M. O'Connor,100,voice
2016,5/17/16,Secretary of the Army,Eric K. Fanning,100,voice
2016,1/20/16,Under Secretary of the Air Force,Lisa S. Disbrow,100,voice
2016,3/17/16,Under Secretary of the Navy,Janine Anne Davidson,100,voice
2016,2/12/16,an Under Secretary of State (Political Affairs),Thomas A. Shannon Jr.,100,voice
2015,12/18/15,Chief Financial Officer,Shoshana Miriam Lew,100,voice
2016,2/1/16,an Assistant Secretary of the Air Force,Ricardo A. Aguilera,100,voice
